Year,District,Country,Population
2009,Angered,Afghanistan,108
2009,Angered,Bolivia,223
2009,Angered,Bosnien och Hercegovina,1642
2009,Angered,Brasilien,20
2009,Angered,Chile,460
2009,Angered,Colombia,40
2009,Angered,Danmark,202
2009,Angered,Eritrea,156
2009,Angered,Estland,32
2009,Angered,Etiopien,371
2009,Angered,Filippinerna,166
2009,Angered,Finland,1462
2009,Angered,Frankrike,19
2009,Angered,Grekland,86
2009,Angered,Indien,158
2009,Angered,Irak,4527
2009,Angered,Iran,1393
2009,Angered,Italien,59
2009,Angered,Jugoslavien,1435
2009,Angered,Kina,330
2009,Angered,Korea Syd-,11
2009,Angered,Kroatien,109
2009,Angered,Libanon,842
2009,Angered,Makedonien,122
2009,Angered,Marocko,97
2009,Angered,Norge,247
2009,Angered,Okänt,0
2009,Angered,Pakistan,139
2009,Angered,Polen,1237
2009,Angered,Portugal,44
2009,Angered,Rumänien,496
2009,Angered,Ryssland,92
2009,Angered,Somalia,1515
2009,Angered,Spanien,32
2009,Angered,Storbritannien och Nordirland,109
2009,Angered,Syrien,556
2009,Angered,Thailand,171
2009,Angered,Turkiet,524
2009,Angered,Tyskland,247
2009,Angered,Ungern,275
2009,Angered,USA,62
2009,Angered,Vietnam,620
2009,Angered,Övriga Afrika,792
2009,Angered,Övriga Asien,609
2009,Angered,Övriga Europa,757
2009,Angered,Övriga Nordamerika,155
2009,Angered,Övriga Oceanien,13
2009,Angered,Övriga Sydamerika,245
2010,Angered,Afghanistan,106
2010,Angered,Bolivia,228
2010,Angered,Bosnien och Hercegovina,1623
2010,Angered,Brasilien,24
2010,Angered,Chile,431
2010,Angered,Colombia,53
2010,Angered,Danmark,206
2010,Angered,Eritrea,164
2010,Angered,Estland,44
2010,Angered,Etiopien,358
2010,Angered,Filippinerna,181
2010,Angered,Finland,1432
2010,Angered,Frankrike,22
2010,Angered,Grekland,93
2010,Angered,Indien,159
2010,Angered,Irak,4524
2010,Angered,Iran,1347
2010,Angered,Italien,62
2010,Angered,Jugoslavien,1399
2010,Angered,Kina,370
2010,Angered,Korea Syd-,11
2010,Angered,Kroatien,109
2010,Angered,Libanon,877
2010,Angered,Makedonien,152
2010,Angered,Marocko,107
2010,Angered,Norge,245
2010,Angered,Okänt,0
2010,Angered,Pakistan,151
2010,Angered,Polen,1382
2010,Angered,Portugal,41
2010,Angered,Rumänien,518
2010,Angered,Ryssland,97
2010,Angered,Somalia,1645
2010,Angered,Spanien,38
2010,Angered,Storbritannien och Nordirland,111
2010,Angered,Syrien,588
2010,Angered,Thailand,154
2010,Angered,Turkiet,531
2010,Angered,Tyskland,249
2010,Angered,Ungern,280
2010,Angered,USA,61
2010,Angered,Vietnam,641
2010,Angered,Övriga Afrika,815
2010,Angered,Övriga Asien,651
2010,Angered,Övriga Europa,842
2010,Angered,Övriga Nordamerika,151
2010,Angered,Övriga Oceanien,15
2010,Angered,Övriga Sydamerika,233
2011,Angered,Afghanistan,116
2011,Angered,Bolivia,215
2011,Angered,Bosnien och Hercegovina,1570
2011,Angered,Brasilien,22
2011,Angered,Chile,420
2011,Angered,Colombia,51
2011,Angered,Danmark,199
2011,Angered,Eritrea,170
2011,Angered,Estland,47
2011,Angered,Etiopien,362
2011,Angered,Filippinerna,176
2011,Angered,Finland,1387
2011,Angered,Frankrike,22
2011,Angered,Grekland,94
2011,Angered,Indien,174
2011,Angered,Irak,4584
2011,Angered,Iran,1306
2011,Angered,Italien,93
2011,Angered,Jugoslavien,1358
2011,Angered,Kina,376
2011,Angered,Korea Syd-,10
